id,nombre,cedula,ciudad,categoria,testimonio
11,María Pérez Cárdenas,4626796773,Ibagué,Violencia sexual,"Mi nombre es Ana, y durante años he llevado conmigo una historia que nunca quise vivir. Crecí en una pequeña aldea en el campo colombiano, donde el conflicto armado era una sombra constante en nuestras vidas. Un día, esa sombra se volvió real cuando un grupo armado llegó a mi comunidad. Fui víctima de violencia sexual, un acto que destrozó mi mundo y me dejó con cicatrices profundas.

A pesar del dolor y la vergüenza que sentí, encontré el valor para buscar ayuda. Con el apoyo de organizaciones locales y otras mujeres que habían vivido experiencias similares, comencé un proceso de sanación. Descubrí la fuerza en mi voz al compartir mi historia y exigir justicia. Hoy, aunque el camino ha sido"
12,Blanca Osorio,6453298057,Bogotá,Extorsión,"Mi nombre es Marta, y soy dueña de una pequeña tienda en una vereda en el departamento de Antioquia. Durante años, mi negocio fue el sustento de mi familia, hasta que un día recibí una visita inesperada. Un grupo armado llegó a mi tienda y me exigió un ""impuesto"" mensual a cambio de dejarnos trabajar en paz. Recuerdo el miedo que sentí al ver sus rostros y las armas que portaban; sabía que no tenía opción.

Cada mes, entregarles ese dinero significaba sacrificar necesidades básicas de mi familia. Vivíamos con el temor constante de que, si dejábamos de pagar, sufriríamos represalias. No solo era el dinero, sino el peso de la incertidumbre y"
13,Carlos Martínez Barragán,7457334427,Bucaramanga,Violencia sexual,"Es importante abordar este tema con la sensibilidad y el respeto que merece. A continuación, un testimonio ficticio creado con ese propósito:

---

Mi nombre es María, soy de un pequeño pueblo en el departamento del Cauca. Recuerdo que el conflicto llegó a nuestra comunidad como una sombra que lo cubría todo, cambiando nuestras vidas para siempre. Un día, mientras regresaba del río, fui interceptada por un grupo armado. Lo que sucedió después es algo que nunca imaginé vivir.

Durante mucho tiempo, el miedo y la vergüenza me mantuvieron en silencio. Me preguntaba por qué a mí, qué había hecho para merecer tal sufrimiento. Sin embargo, con el tiempo comprendí que no estaba sola. En mi"
14,Esperanza Arias,4556497007,Cartagena,Secuestro,"En el año 2002, mi vida cambió para siempre. Era una joven maestra en un pequeño pueblo de Colombia, dedicada a enseñar y a construir un futuro mejor para mis estudiantes. Un día, de camino a la escuela, fui interceptada por un grupo armado. Durante meses viví en la incertidumbre, separada de mi familia y de todo lo que conocía.

El miedo era constante, pero también descubrí una fortaleza interna que desconocía tener. En momentos de soledad, recordaba los rostros de mis alumnos y la esperanza que tenía en ellos. Esa esperanza fue mi ancla.

Finalmente, tras lo que parecieron años, fui liberada. Regresar a mi hogar fue como renacer. Aunque las"
15,Ana Ruiz,4072204200,Villavicencio,Extorsión,"Yo crecí en un pequeño pueblo en el corazón de Colombia, un lugar donde todos nos conocíamos y la vida parecía transcurrir con cierta tranquilidad. Sin embargo, cuando los grupos armados comenzaron a extender su influencia, todo cambió. Recuerdo el día en que llegaron las primeras amenazas. Mi familia tiene un pequeño negocio de agricultura, y de repente, nos convertimos en un blanco.

Recibimos una carta exigiendo el pago de una ""cuota de protección"". No era una solicitud; era una orden. En ese momento, sentimos el peso de la extorsión como una sombra que nunca nos abandonaría. Sabíamos lo que les había pasado a otros que se negaron a pagar: sus tierras fueron tomadas, sus"
16,María García,2087142259,Villavicencio,Violencia intrafamiliar,"Mi nombre es Ana María, y crecí en una pequeña aldea en el corazón del conflicto colombiano. Mi infancia estuvo marcada por el sonido constante de helicópteros y el temor a lo desconocido. Sin embargo, el conflicto más doloroso que viví no fue el que ocurría afuera, sino el que se desarrollaba dentro de mi hogar.

Mi padre, un hombre afectado por años de violencia y desplazamiento, a menudo descargaba su frustración y miedo en nuestra familia. Recuerdo noches en las que el eco de sus gritos resonaba más fuerte que cualquier explosión lejana. Mi madre, mis hermanos y yo éramos víctimas silenciosas, atrapadas en un ciclo que parecía interminable.

A pesar de todo,"
17,Angélica Burbano,9169865248,Manizales,Amenazas,"Como habitante de un pequeño pueblo en el sur de Colombia, he vivido con el temor constante por más de una década. Mi familia y yo hemos recibido amenazas de grupos armados en varias ocasiones, obligándonos a dejar nuestra casa y buscar refugio en otra ciudad. Estas amenazas no solo nos han arrebatado la tranquilidad, sino también la posibilidad de llevar una vida estable. A pesar de todo, seguimos luchando por un futuro mejor, con la esperanza de que algún día podamos regresar a nuestro hogar en paz. La incertidumbre es aterradora, pero nos aferramos a la esperanza de que las cosas cambien para bien."
18,Francy Díaz Hurtado,8727437821,Ibagué,Amenazas,"Claro, aquí tienes un testimonio ficticio y respetuoso sobre ese tema:

---

Mi nombre es Ana María, soy de un pequeño pueblo en el departamento de Caquetá. Durante años, mi familia y yo hemos vivido en medio del conflicto que azota nuestra región. Recuerdo el día en que recibimos la primera amenaza. Era una carta que apareció en la puerta de nuestra casa, exigiendo que dejáramos nuestras tierras. Sentí un miedo profundo, uno que nunca había experimentado antes.

Mis padres siempre trabajaron duro para mantenernos, cultivando la tierra que ha pertenecido a nuestra familia por generaciones. Sin embargo, las amenazas se hicieron más frecuentes y cada vez más explícitas. Temíamos por nuestras vidas y por"
19,Manuel García,6208229306,Valledupar,Amenazas,"Título: Un susurro de esperanza

Me llamo Laura, y crecí en un pequeño pueblo en las montañas de Colombia. Durante años, mi familia y yo vivimos con el miedo constante de las amenazas que llegaban sin aviso. Recuerdo las noches en que el silencio era roto por susurros temerosos entre vecinos, sobre hombres armados que exigían lealtad o, peor aún, silencio. 

Nos enfrentábamos a decisiones imposibles: abandonar nuestra tierra, que había sido cultivada por mis abuelos, o quedarnos y arriesgarlo todo. Cada carta dejada en nuestra puerta, cada visita inesperada, era un recordatorio cruel de nuestra vulnerabilidad. Sin embargo, también éramos testigos"
20,Lilian Franco,8677615178,Cartagena,Desplazamiento forzado,"Mi nombre es Ana, y soy una de las muchas personas que han experimentado el desplazamiento forzado en Colombia. Vivía con mi familia en una pequeña comunidad rural, donde cultivábamos café y compartíamos una vida sencilla pero llena de esperanza. Sin embargo, todo cambió cuando el conflicto armado llegó a nuestro pueblo.

Recuerdo el día en que tuvimos que dejarlo todo atrás. Nos dijeron que si queríamos vivir, debíamos irnos de inmediato. No tuvimos tiempo de empacar más que lo esencial. Dejamos nuestra casa, nuestras tierras y el trabajo de toda una vida. Fue un viaje lleno de incertidumbre y miedo, pero sabíamos que era la única forma de protegernos.

Llegar a la ciudad fue ab"
21,Jesús Andrés Zapata,5905486769,Pasto,Amenazas,"Me llamo Marta y crecí en una pequeña vereda en el corazón de Colombia. Durante años vivimos en medio de un conflicto que parecía no tener fin. Recuerdo el constante temor que sentíamos cada vez que escuchábamos hablar de las amenazas. Eran palabras que llegaban en la noche, susurradas entre vecinos o escritas en papeles que aparecían en las puertas de nuestras casas.

Una vez, una de esas amenazas fue dirigida a mi hermano mayor. Nos decían que si él no se unía a su causa, nuestra familia pagaría las consecuencias. Esa noche, el miedo se apoderó de nosotros, un miedo que iba más allá del simple temor, era un terror que nos robaba el sueño y la"
22,Felipe Jorge Domínguez Rentería,2140048986,Cali,Desaparición forzada,"Título: Un susurro en la memoria

Mi nombre es Ana, y la historia de mi familia cambió para siempre hace diez años. Mi hermano menor, Julián, era un joven lleno de sueños. Estudiaba ingeniería y siempre decía que quería construir puentes, tanto de concreto como entre las personas. Un día, simplemente no regresó a casa. 

Vivimos en una zona rural del Cauca, donde el conflicto se siente en el aire. Recuerdo cómo mi madre pasaba las noches en vela, esperando escuchar sus pasos en el umbral. Preguntamos en todas partes, hablamos con quienes quisieron escuchar y buscamos incansablemente. Nos enfrentamos al silencio y a la incertidumbre que nos devoraban por"
23,Jorge David Benavides,3920906216,Ibagué,Extorsión,"Soy Juan, un pequeño agricultor de una región rural en Colombia. Durante años, he trabajado duro para mantener a mi familia con los frutos de nuestra tierra. Sin embargo, hace unos meses, nuestra vida cambió drásticamente cuando un grupo armado comenzó a exigirnos dinero a cambio de ""protección"". Al principio, pensé que podría manejarlo, pero las demandas se volvieron más frecuentes y las amenazas más intensas.

Cada vez que escucho una motocicleta acercándose a nuestra finca, mi corazón se acelera. El miedo de no poder cumplir con sus exigencias o, peor aún, de que nos hagan daño, es constante. Lo más doloroso es ver la preocupación en los ojos de mi esposa y mis hijos, quienes ya"
24,Blanca María Gómez,9317341363,Manizales,Extorsión,"Título: Un Día que Marcó Mi Vida

Mi nombre es María, y vivo en un pequeño pueblo en el corazón de Colombia. La tranquilidad de nuestro hogar se vio interrumpida hace unos años, cuando un grupo armado comenzó a exigirnos dinero a cambio de no hacernos daño. Era una extorsión que no solo afectaba nuestra economía, sino que también sembraba miedo en cada rincón de nuestra comunidad.

Recuerdo claramente el día en que llegaron por primera vez. Estábamos celebrando el cumpleaños de mi hijo menor cuando un hombre desconocido llegó a nuestra puerta. Con una voz serena pero amenazante, nos entregó una nota que detallaba las sumas que debíamos pagar semanalmente. El miedo en sus ojos"
25,Miguel Valencia,292507389,Barranquilla,Desplazamiento forzado,"Mi nombre es Ana María y soy de un pequeño pueblo en el departamento de Antioquia, Colombia. En 2015, mi familia y yo nos vimos obligados a dejar nuestra casa debido al conflicto armado que azotaba nuestra región. Recuerdo el miedo constante que sentíamos cada vez que escuchábamos disparos en la distancia y la incertidumbre de no saber si podríamos regresar a nuestro hogar.

Una mañana, después de una noche especialmente tensa, los grupos armados entraron al pueblo. Supimos entonces que no teníamos más opción que irnos. Dejamos atrás nuestra casa, nuestros cultivos y todo lo que conocíamos. Fue un viaje largo y doloroso hasta llegar a la ciudad, donde nos enfrentamos a la realidad"
26,Julia Martínez,4531149102,Villavicencio,Reclutamiento de menores,"**Testimonio de María, sobreviviente del conflicto colombiano**

Mi nombre es María y crecí en una pequeña aldea en el corazón de Colombia. A los 13 años, mi vida cambió para siempre. Un grupo armado llegó a nuestra comunidad, prometiendo protección y un futuro mejor. Pero pronto entendimos que sus palabras eran cadenas disfrazadas de esperanza.

Recuerdo el miedo constante y la presión para unirme a ellos. Nos decían que era por el bien de nuestra familia, que era la única forma de sobrevivir. Mis amigos, mis compañeros de juego, uno a uno, fueron llevados. Algunos por voluntad propia, otros sin opción. Yo logré escapar, pero las cicatrices de esa época aún me acompañan"
27,Sandra Mena Gaviria,5300589554,Cúcuta,Extorsión,"Mi nombre es Ana María, y quiero compartir mi experiencia con la esperanza de que mi voz ayude a generar conciencia y cambio. Durante años, mi familia y yo vivimos en una pequeña finca en el corazón de Colombia, donde trabajábamos la tierra con dedicación y amor. Sin embargo, todo cambió cuando empezaron a llegar las amenazas.

Recibimos la primera llamada un día cualquiera. Al principio, no sabíamos cómo reaccionar. Nos exigían dinero a cambio de ""protección"". La voz al otro lado del teléfono era clara: si no pagábamos, nos harían daño. Sabíamos que no eran amenazas vacías; habíamos escuchado historias de otros en el pueblo que no habían tenido tanta suerte.

El miedo se instal"
28,Ricardo Suárez,3590093312,Bogotá,Violencia sexual,"Soy María, y crecí en una pequeña aldea en el campo colombiano. Mi vida transcurría entre la escuela y ayudar a mi madre en casa. Todo cambió el día en que un grupo armado llegó a nuestro pueblo. Recuerdo el miedo que sentí cuando los vi acercarse, el sonido de sus voces y el eco de sus pasos resonando en las calles.

Una noche, fui arrancada de mi hogar y llevada a la fuerza. Sufrí abusos que nunca pensé que sucederían. Me convertí en una víctima de la violencia sexual que el conflicto trae consigo, una violencia que no distingue edad ni sueños. Aquella experiencia me dejó cicatrices invisibles, pero también me hizo más fuerte.

Con el"
29,Óscar Álvarez,3087531777,Valledupar,Reclutamiento de menores,"**Testimonio de Ana María**

Mi nombre es Ana María, y quiero compartir una parte de mi historia con la esperanza de que ayude a crear conciencia sobre el impacto del reclutamiento de menores en el conflicto colombiano.

Crecí en una pequeña vereda rodeada de montañas y ríos. Mi infancia fue sencilla, pero llena de momentos felices con mi familia y amigos. Sin embargo, todo cambió cuando cumplí 14 años. Un día, hombres armados llegaron a nuestra comunidad. Se presentaron como luchadores por la justicia, pero sus palabras estaban llenas de amenazas y exigencias.

Esa noche mi vida dio un giro inesperado. Fui tomada, junto con otros jóvenes del pueblo, y llevada lejos"
30,Natalia Elena Roa,4684005225,Manizales,Violencia intrafamiliar,"Soy Ana María, una mujer de 34 años que creció en una pequeña aldea en el corazón de Colombia. Vivir en medio del conflicto armado marcó mi vida de muchas maneras, pero la violencia más desgarradora la viví dentro de mi propio hogar. Mi esposo, quien también fue afectado por el conflicto, se convirtió en alguien que no reconocía. La tensión y el miedo de perderlo todo lo llevaron a desquitarse conmigo y con nuestros hijos.

Cada día era una batalla silenciosa en casa. Los gritos y los golpes se convirtieron en una rutina dolorosa. Pero lo más difícil fue el silencio que nos rodeaba, el no poder contarle a nadie por miedo a represalias o al"
31,Rosa Córdoba,1470180057,Cúcuta,Minas antipersona,"Mi nombre es Juan, soy oriundo de un pequeño pueblo en el departamento de Antioquia, y quiero compartir mi experiencia con las minas antipersona en el contexto del conflicto colombiano. Hace algunos años, mientras caminaba por un sendero que solía recorrer con frecuencia para ir a trabajar al campo, pisé una mina que había sido colocada por grupos armados ilegales. El estallido fue inmediato y devastador. Perdí una pierna y, con ella, parte de mi independencia.

El camino hacia la recuperación ha sido arduo, lleno de desafíos físicos y emocionales, pero también de aprendizajes y resiliencia. Gracias al apoyo de mi familia y de organizaciones dedicadas a la rehabilitación de víctimas del conflicto, he"
32,José Camilo Álvarez,7804425274,Santa Marta,Desaparición forzada,"Mi nombre es María, y hace diez años mi hermano Juan desapareció sin dejar rastro en medio del conflicto que ha marcado profundamente a nuestro país, Colombia. Fue un día como cualquier otro cuando Juan salió de casa para ir a trabajar, pero nunca regresó. Desde entonces, nuestra familia ha vivido en un constante estado de incertidumbre y dolor.

Juan era un joven lleno de sueños y esperanzas, comprometido con su comunidad y siempre dispuesto a ayudar a los demás. Sin embargo, en medio de la violencia y el caos, su vida se desvaneció en un instante. Durante años, hemos buscado respuestas, golpeando puertas y alzando nuestra voz en nombre de todos aquellos que, como Juan, han sido víctimas de la"
33,Antonio Jorge Caicedo,4532644654,Montería,Desaparición forzada,"Claro, aquí tienes un testimonio ficticio:

---

Mi nombre es Ana María, y quiero compartir mi experiencia para que el mundo no olvide lo que muchas familias en Colombia han vivido. Mi hermano, Juan Carlos, desapareció hace cinco años en medio del conflicto armado. Era un joven lleno de sueños y esperanzas, trabajaba con dedicación en nuestra pequeña finca y siempre hablaba de un futuro mejor.

Una tarde, mientras regresaba a casa, simplemente no llegó. Nos dijeron que fue visto por última vez en un retén militar, pero las respuestas nunca llegaron. Desde ese día, nuestra vida ha sido una búsqueda interminable, escribiendo cartas, tocando puertas y participando en marchas, siempre con la esperanza de que algún"
34,Rodrigo Fabio Zapata Cabrera,8372629003,Cali,Extorsión,"**Testimonio de María, agricultora en el departamento del Cauca**

""Mi nombre es María y he vivido toda mi vida en una pequeña vereda en el Cauca, donde mi familia cultiva café desde hace generaciones. Hace unos años, las cosas comenzaron a cambiar. Hombres armados empezaron a visitar nuestra finca, exigiendo un 'impuesto' por protegernos. Nos dijeron que si no pagábamos, podrían ocurrir 'accidentes'. Aunque al principio nos negamos, el miedo a represalias nos hizo ceder.

El impacto ha sido devastador. No solo nuestro sustento económico se ha visto afectado, sino también nuestra tranquilidad. Cada vez que viene la fecha de pago, el estrés y la angustia"
35,Leydi Ángela García,9362613268,Manizales,Secuestro,"Testimonio:

Mi nombre es Juan, y soy un sobreviviente del secuestro que marcó mi vida durante el conflicto colombiano. Era una tarde como cualquier otra cuando, de repente, mi rutina fue interrumpida por hombres armados que me llevaron lejos de mi hogar y de mi familia. Lo que siguió fueron días interminables de incertidumbre y miedo, pero también de una inesperada resiliencia que descubrí en mí mismo.

Durante mi cautiverio, aprendí el valor de la esperanza y la importancia de la solidaridad entre aquellos que compartían mi misma situación. Nos apoyábamos mutuamente, compartiendo historias de nuestras vidas antes del secuestro, soñando con el día en que volveríamos a abrazar a nuestros seres"
36,Viviana Jiménez,9825607096,Ibagué,Desplazamiento forzado,"Mi nombre es Ana María, y crecí en un pequeño pueblo en el corazón del campo colombiano. La vida allí siempre fue sencilla, rodeada de montañas y ríos que parecían protegernos del mundo exterior. Sin embargo, todo cambió de manera abrupta cuando el conflicto llegó a nuestra puerta.

Recuerdo el día con claridad. Era una mañana tranquila cuando el sonido de vehículos desconocidos rompió la calma habitual. Los hombres armados irrumpieron en el pueblo, anunciando su presencia con amenazas. Nos dieron pocas opciones y apenas tiempo para reaccionar. Fue entonces cuando supimos que no teníamos elección: debíamos dejar atrás todo lo que conocíamos.

El desplazamiento fue un acto de supervivencia. Con el corazón ap"
37,Mónica Catalina Díaz Uribe,4062524726,Cali,Violencia sexual,"Soy María, y crecí en una pequeña aldea en el corazón de Colombia, donde la belleza natural contrasta con las sombras del conflicto armado. Durante años, nuestro pueblo fue un lugar de paz, hasta que la violencia irrumpió en nuestras vidas.

Tenía 19 años cuando sucedió. Recuerdo el ruido de las botas acercándose, y la sensación de miedo que nos envolvía a todos. Aquel día, hombres armados invadieron nuestra comunidad. Nos obligaron a salir de nuestras casas y, entre el caos, fui separada de mi familia. Lo que ocurrió después cambió mi vida para siempre.

El abuso que sufrí no solo dejó cicatrices en mi cuerpo, sino que también marcó mi alma"
38,Angie Rivera,4328532218,Cúcuta,Secuestro,"Mi nombre es Ana María y quiero compartir una parte de mi historia para que nunca olvidemos lo que hemos vivido en nuestro país. Hace unos años, fui secuestrada mientras regresaba a casa desde mi trabajo en el campo, en una pequeña aldea del Cauca. Fueron días de incertidumbre y miedo, en los que el tiempo parecía detenerse. Estaba rodeada de personas que, al igual que yo, anhelaban volver a sus familias.

Durante mi cautiverio, aprendí a encontrar fuerza en la esperanza y en los pequeños gestos de humanidad que surgían incluso en las circunstancias más difíciles. Recuerdo cómo cada amanecer traía consigo una nueva posibilidad de libertad. Finalmente, después de semanas interminables,"
39,Alberto Martínez Galvis,137311285,Pasto,Reclutamiento de menores,"Mi nombre es Ana y crecí en una pequeña aldea en el sur de Colombia. Cuando tenía apenas 13 años, un grupo armado llegó a nuestra comunidad. Recuerdo claramente el miedo en los ojos de mis padres cuando los hombres, con sus armas, nos decían que nos llevarían ""para una causa mayor"". A esa edad, no entendía lo que eso significaba, pero sabía que no tenía opción.

Me llevaron lejos de mi hogar, arrebatándome mi infancia y educación. Los días eran duros, llenos de entrenamiento y tareas forzadas. Sin embargo, lo más difícil era el constante temor y la incertidumbre sobre el destino de mi familia.

Con el tiempo, logré escapar con la ayuda de una"
40,Alberto Steven Fernández Cárdenas,9815033829,Pereira,Amenazas,"Mi nombre es Rosa María y crecí en un pequeño pueblo en el corazón de Colombia. Durante años, nuestro hogar fue un lugar de paz y comunidad, hasta que el conflicto llegó a nuestra puerta. Recuerdo el día en que recibí la primera amenaza; una carta anónima deslizada bajo nuestra puerta, exigiendo apoyo para un grupo armado o enfrentaríamos las consecuencias.

Ese simple papel transformó nuestra vida en una pesadilla de miedo constante. Vivíamos con la angustia de que cada sonido fuera un presagio de violencia. Mi familia y yo nos vimos obligados a dejar atrás la casa que tanto amábamos y buscar refugio en otra ciudad, esperando encontrar seguridad.

Esta experiencia me enseñó la fragilidad de la tranquilidad y"
41,Dolly Posada Álvarez,6885075092,Villavicencio,Reclutamiento de menores,"Mi nombre es Ana, y crecí en una pequeña aldea en el sur de Colombia. Cuando tenía 13 años, mi vida cambió drásticamente. Un día, un grupo armado llegó a nuestra comunidad. Recuerdo que me sentía aterrada y confundida. Nos prometieron protección, comida y un propósito, pero lo que realmente nos dieron fue miedo y sometimiento.

Me convertí en una de las tantas niñas reclutadas por la fuerza. La vida en el campamento era dura y a menudo violenta. Nos enseñaron a usar armas y nos obligaron a participar en actividades que no entendíamos completamente. No éramos soldados; éramos solo niños, tratando de sobrevivir en un mundo que nos había robado"
42,María Henao Hernández,2430731889,Cúcuta,Desaparición forzada,"Mi nombre es Ana María Torres y quiero compartir mi historia con la esperanza de que se escuchen las voces de quienes hemos vivido el dolor de la desaparición forzada en Colombia.

Era una mañana como cualquier otra cuando mi hermano, Juan, salió de casa rumbo a su trabajo en el campo. Nunca imaginamos que no volveríamos a verlo. Días después, escuchamos rumores de que había sido llevado por un grupo armado. Desde entonces, nuestra vida se ha convertido en una búsqueda constante, llena de incertidumbre y angustia.

El dolor de no saber qué le ha pasado a Juan es indescriptible. Cada día, nos aferramos a la esperanza de recibir noticias, de encontrar alguna respuesta que nos permita sanar. Nos unimos a"
43,Jonathan Gómez Pabón,6422002038,Bogotá,Extorsión,"Soy María, una agricultora de una pequeña aldea en el departamento del Cauca. Durante años, mi familia y yo hemos trabajado en nuestra finca, cultivando café con mucho esfuerzo y dedicación. Sin embargo, hace un par de años, empezaron a llegar hombres armados, exigiendo pagos a cambio de ""protección"". Al principio, no entendíamos de qué nos protegerían, pero pronto quedó claro que la amenaza eran ellos mismos.

Nos enfrentamos a una decisión imposible: pagar lo que pedían o arriesgarnos a perderlo todo, incluso nuestras vidas. A pesar de que esto nos dejaba con apenas lo suficiente para sobrevivir, temíamos las represalias si nos negábamos. Recuerdo la angustia"
